Team;Median of Age;Median of Non-Penalty Goals;Median of Penalty Goals;Median of Assists;Median of PrgC;Median of PrgP_x;Median of PrgR_x;Median of Gls/90;Median of Ast/90;Median of G+A/90;Median of G-PK/90;Median of G+A-PK/90;Median of xG/90;Median of xAG/90;Median of xG + xAG/90;Median of npxG/90;Median of npxG + xAG/90;Median of Matches Played;Median of Starts_x;Median of GA;Median of GA90;Median of SoTA;Median of Saves;Median of Save%;Median of Save%.1;Median of W;Median of D;Median of L;Median of CS;Median of CS%;Median of PKatt;Median of PKA;Median of PKsv;Median of PKm;Median of Gls;Median of Sh_x;Median of SoT;Median of SoT%;Median of Sh/90;Median of SoT/90;Median of G/Sh;Median of G/SoT;Median of Dist;Median of FK;Median of PK;Median of PKatt_shooting;Median of xG;Median of npxG;Median of npxG/Sh;Median of G-xG;Median of np:G-xG;Median of Cmp;Median of Att_x;Median of Cmp%;Median of TotDist_x;Median of PrgDist;Median of Cmp_Short;Median of Att_Short;Median of Cmp%_Short;Median of Cmp_Medium;Median of Att_Medium;Median of Cmp%_Medium;Median of Cmp_Long;Median of Att_Long;Median of Cmp%_Long;Median of Ast;Median of xAG;Median of xA;Median of A-xAG;Median of KP;Median of 1/3_x;Median of PPA;Median of CrsPA;Median of PrgP_y;Median of Total Passes;Median of Live_x;Median of Dead;Median of FK_pass;Median of TB;Median of Sw;Median of Crs_x;Median of TI;Median of CK;Median of In;Median of Out;Median of Str;Median of Cmp_pass;Median of Off_x;Median of Blocks_x;Median of SCA;Median of SCA90;Median of SCA - PassLive;Median of SCA - PassDead;Median of SCA - TO;Median of SCA - Sh;Median of SCA - Fld;Median of SCA - Def;Median of GCA;Median of GCA90;Median of GCA - PassLive;Median of GCA - PassDead;Median of GCA - TO;Median of GCA - Sh;Median of GCA - Fld;Median of GCA - Def;Median of Tkl;Median of TklW;Median of Def 3rd_x;Median of Mid 3rd_x;Median of Att 3rd_x;Median of Tkl_challenge;Median of Att_y;Median of Tkl%;Median of Lost_x;Median of Blocks_y;Median of Sh_y;Median of Pass;Median of Int;Median of Tkl + Int;Median of Clr;Median of Err;Median of Touches;Median of Def Pen;Median of Def 3rd_y;Median of Mid 3rd_y;Median of Att 3rd_y;Median of Att Pen;Median of Live_y;Median of Att;Median of Succ;Median of Succ%;Median of Carries;Median of TotDist_y;Median of ProDist;Median of ProgC;Median of 1/3_y;Median of CPA;Median of Mis;Median of Dis;Median of Rec;Median of PrgR_y;Median of Matches;Median of Mn/Game;Median of Min %;Median of 90s;Median of Starts_y;Median of Mn/Start;Median of Compl;Median of Subs;Median of Mn/Sub;Median of unSub;Median of PPM;Median of onG;Median of onGA;Median of onxG;Median of onxGA;Median of Plus/Minus;Median of Plus/Minus/90;Median of Plus/Minus/WoWy;Median of Yellow Cards;Median of Red Cards;Median of Yellow-Red Cards;Median of Fls;Median of Fld;Median of Off_y;Median of Crs_y;Median of Won;Median of Lost_y;Median of Won%;Median of Recov;Mean of Age;Mean of Non-Penalty Goals;Mean of Penalty Goals;Mean of Assists;Mean of PrgC;Mean of PrgP_x;Mean of PrgR_x;Mean of Gls/90;Mean of Ast/90;Mean of G+A/90;Mean of G-PK/90;Mean of G+A-PK/90;Mean of xG/90;Mean of xAG/90;Mean of xG + xAG/90;Mean of npxG/90;Mean of npxG + xAG/90;Mean of Matches Played;Mean of Starts_x;Mean of GA;Mean of GA90;Mean of SoTA;Mean of Saves;Mean of Save%;Mean of Save%.1;Mean of W;Mean of D;Mean of L;Mean of CS;Mean of CS%;Mean of PKatt;Mean of PKA;Mean of PKsv;Mean of PKm;Mean of Gls;Mean of Sh_x;Mean of SoT;Mean of SoT%;Mean of Sh/90;Mean of SoT/90;Mean of G/Sh;Mean of G/SoT;Mean of Dist;Mean of FK;Mean of PK;Mean of PKatt_shooting;Mean of xG;Mean of npxG;Mean of npxG/Sh;Mean of G-xG;Mean of np:G-xG;Mean of Cmp;Mean of Att_x;Mean of Cmp%;Mean of TotDist_x;Mean of PrgDist;Mean of Cmp_Short;Mean of Att_Short;Mean of Cmp%_Short;Mean of Cmp_Medium;Mean of Att_Medium;Mean of Cmp%_Medium;Mean of Cmp_Long;Mean of Att_Long;Mean of Cmp%_Long;Mean of Ast;Mean of xAG;Mean of xA;Mean of A-xAG;Mean of KP;Mean of 1/3_x;Mean of PPA;Mean of CrsPA;Mean of PrgP_y;Mean of Total Passes;Mean of Live_x;Mean of Dead;Mean of FK_pass;Mean of TB;Mean of Sw;Mean of Crs_x;Mean of TI;Mean of CK;Mean of In;Mean of Out;Mean of Str;Mean of Cmp_pass;Mean of Off_x;Mean of Blocks_x;Mean of SCA;Mean of SCA90;Mean of SCA - PassLive;Mean of SCA - PassDead;Mean of SCA - TO;Mean of SCA - Sh;Mean of SCA - Fld;Mean of SCA - Def;Mean of GCA;Mean of GCA90;Mean of GCA - PassLive;Mean of GCA - PassDead;Mean of GCA - TO;Mean of GCA - Sh;Mean of GCA - Fld;Mean of GCA - Def;Mean of Tkl;Mean of TklW;Mean of Def 3rd_x;Mean of Mid 3rd_x;Mean of Att 3rd_x;Mean of Tkl_challenge;Mean of Att_y;Mean of Tkl%;Mean of Lost_x;Mean of Blocks_y;Mean of Sh_y;Mean of Pass;Mean of Int;Mean of Tkl + Int;Mean of Clr;Mean of Err;Mean of Touches;Mean of Def Pen;Mean of Def 3rd_y;Mean of Mid 3rd_y;Mean of Att 3rd_y;Mean of Att Pen;Mean of Live_y;Mean of Att;Mean of Succ;Mean of Succ%;Mean of Carries;Mean of TotDist_y;Mean of ProDist;Mean of ProgC;Mean of 1/3_y;Mean of CPA;Mean of Mis;Mean of Dis;Mean of Rec;Mean of PrgR_y;Mean of Matches;Mean of Mn/Game;Mean of Min %;Mean of 90s;Mean of Starts_y;Mean of Mn/Start;Mean of Compl;Mean of Subs;Mean of Mn/Sub;Mean of unSub;Mean of PPM;Mean of onG;Mean of onGA;Mean of onxG;Mean of onxGA;Mean of Plus/Minus;Mean of Plus/Minus/90;Mean of Plus/Minus/WoWy;Mean of Yellow Cards;Mean of Red Cards;Mean of Yellow-Red Cards;Mean of Fls;Mean of Fld;Mean of Off_y;Mean of Crs_y;Mean of Won;Mean of Lost_y;Mean of Won%;Mean of Recov;Std of Age;Std of Non-Penalty Goals;Std of Penalty Goals;Std of Assists;Std of PrgC;Std of PrgP_x;Std of PrgR_x;Std of Gls/90;Std of Ast/90;Std of G+A/90;Std of G-PK/90;Std of G+A-PK/90;Std of xG/90;Std of xAG/90;Std of xG + xAG/90;Std of npxG/90;Std of npxG + xAG/90;Std of Matches Played;Std of Starts_x;Std of GA;Std of GA90;Std of SoTA;Std of Saves;Std of Save%;Std of Save%.1;Std of W;Std of D;Std of L;Std of CS;Std of CS%;Std of PKatt;Std of PKA;Std of PKsv;Std of PKm;Std of Gls;Std of Sh_x;Std of SoT;Std of SoT%;Std of Sh/90;Std of SoT/90;Std of G/Sh;Std of G/SoT;Std of Dist;Std of FK;Std of PK;Std of PKatt_shooting;Std of xG;Std of npxG;Std of npxG/Sh;Std of G-xG;Std of np:G-xG;Std of Cmp;Std of Att_x;Std of Cmp%;Std of TotDist_x;Std of PrgDist;Std of Cmp_Short;Std of Att_Short;Std of Cmp%_Short;Std of Cmp_Medium;Std of Att_Medium;Std of Cmp%_Medium;Std of Cmp_Long;Std of Att_Long;Std of Cmp%_Long;Std of Ast;Std of xAG;Std of xA;Std of A-xAG;Std of KP;Std of 1/3_x;Std of PPA;Std of CrsPA;Std of PrgP_y;Std of Total Passes;Std of Live_x;Std of Dead;Std of FK_pass;Std of TB;Std of Sw;Std of Crs_x;Std of TI;Std of CK;Std of In;Std of Out;Std of Str;Std of Cmp_pass;Std of Off_x;Std of Blocks_x;Std of SCA;Std of SCA90;Std of SCA - PassLive;Std of SCA - PassDead;Std of SCA - TO;Std of SCA - Sh;Std of SCA - Fld;Std of SCA - Def;Std of GCA;Std of GCA90;Std of GCA - PassLive;Std of GCA - PassDead;Std of GCA - TO;Std of GCA - Sh;Std of GCA - Fld;Std of GCA - Def;Std of Tkl;Std of TklW;Std of Def 3rd_x;Std of Mid 3rd_x;Std of Att 3rd_x;Std of Tkl_challenge;Std of Att_y;Std of Tkl%;Std of Lost_x;Std of Blocks_y;Std of Sh_y;Std of Pass;Std of Int;Std of Tkl + Int;Std of Clr;Std of Err;Std of Touches;Std of Def Pen;Std of Def 3rd_y;Std of Mid 3rd_y;Std of Att 3rd_y;Std of Att Pen;Std of Live_y;Std of Att;Std of Succ;Std of Succ%;Std of Carries;Std of TotDist_y;Std of ProDist;Std of ProgC;Std of 1/3_y;Std of CPA;Std of Mis;Std of Dis;Std of Rec;Std of PrgR_y;Std of Matches;Std of Mn/Game;Std of Min %;Std of 90s;Std of Starts_y;Std of Mn/Start;Std of Compl;Std of Subs;Std of Mn/Sub;Std of unSub;Std of PPM;Std of onG;Std of onGA;Std of onxG;Std of onxGA;Std of Plus/Minus;Std of Plus/Minus/90;Std of Plus/Minus/WoWy;Std of Yellow Cards;Std of Red Cards;Std of Yellow-Red Cards;Std of Fls;Std of Fld;Std of Off_y;Std of Crs_y;Std of Won;Std of Lost_y;Std of Won%;Std of Recov
All;24.0;0.0;0.0;0.0;7.0;14.0;8.0;0.0;0.0;0.0;0.0;0.0;0.04;0.03;0.09;0.04;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;16.7;0.52;0.1;0.0;0.0;12.1;0.0;0.0;0.0;0.3;0.3;0.05;0.0;0.0;202.0;274.0;75.25;3239.5;885.0;101.0;116.5;86.2;69.5;93.0;79.05;10.5;19.5;46.35;0.0;0.2;0.3;0.0;3.0;11.0;2.0;0.0;14.0;274.0;249.0;11.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;202.0;1.0;4.0;10.0;1.33;7.0;0.0;0.0;0.0;0.0;0.0;1.0;0.04;0.0;0.0;0.0;0.0;0.0;0.0;7.0;4.0;3.0;3.0;1.0;3.0;7.5;35.0;4.0;6.0;1.0;4.0;3.0;11.0;7.0;0.0;372.0;14.0;72.5;116.5;58.5;8.5;371.5;6.0;2.0;35.1;208.5;1020.5;476.0;7.0;5.0;1.0;6.0;3.0;231.0;8.0;13.0;48.0;19.65;7.45;7.0;75.0;2.0;2.0;12.5;3.0;1.11;11.0;12.0;10.05;11.4;0.0;0.0;0.0;1.0;0.0;0.0;6.0;4.0;0.0;2.0;5.0;6.0;36.2;26.0;23.97;1.6;1.48;1.15;19.17;39.33;38.92;0.1;0.07;0.17;0.09;0.16;0.11;0.08;0.19;0.11;0.19;1.04;1.02;1.67;0.12;4.9;3.28;3.51;0.38;0.4;0.22;0.4;0.21;1.0;0.14;0.13;0.01;0.0;1.6;13.92;4.76;19.34;1.05;0.33;0.06;0.16;10.3;0.38;0.13;0.14;1.61;1.5;0.06;-0.01;-0.02;421.01;521.53;59.68;7152.24;2528.26;202.45;226.54;65.94;171.76;198.14;61.97;35.87;69.06;38.11;1.15;1.16;1.03;-0.01;10.56;31.38;9.09;1.89;39.33;521.53;473.37;46.21;12.52;1.78;2.69;17.64;18.06;5.51;2.69;1.61;0.13;421.01;1.94;9.78;24.74;1.83;18.11;2.06;1.44;1.61;1.03;0.49;2.77;0.18;1.95;0.17;0.2;0.22;0.17;0.05;17.99;10.55;8.72;6.72;2.54;8.36;17.05;31.77;8.7;12.47;3.97;8.5;8.46;26.45;20.89;0.44;636.75;70.9;208.88;272.14;161.64;26.71;636.61;19.09;8.7;30.37;364.43;1926.4;990.21;19.17;13.52;6.1;14.47;9.63;416.91;38.92;15.26;42.89;29.43;11.18;11.21;52.67;7.12;4.05;12.87;5.08;1.06;18.36;18.3;17.34;17.28;0.06;-0.21;-0.16;2.22;0.08;0.04;11.27;10.87;1.94;17.64;13.61;13.61;33.53;49.19;4.95;3.31;2.92;2.17;29.54;54.5;64.1;0.2;0.15;0.28;0.2;0.27;0.2;0.19;0.32;0.2;0.32;5.29;5.26;8.78;0.92;25.78;17.41;15.14;4.65;2.28;1.17;2.26;1.26;5.42;0.85;0.8;0.12;0.06;3.31;21.21;8.13;21.77;1.85;0.57;0.1;0.24;8.88;1.5;0.69;0.76;3.12;2.75;0.08;1.13;1.11;537.53;634.38;34.54;9430.55;3829.47;257.94;280.66;38.83;240.2;264.1;37.58;57.77;118.28;28.94;2.17;1.97;1.7;0.92;16.8;46.57;14.65;3.81;54.5;634.38;581.57;78.13;24.02;3.9;5.2;36.61;46.32;19.15;9.75;7.26;0.76;537.53;2.89;12.81;35.3;3.89;25.43;6.39;2.96;2.66;1.98;0.98;4.49;0.33;3.2;0.66;0.62;0.61;0.53;0.24;23.18;13.78;12.35;9.12;3.73;11.48;22.1;28.3;11.66;15.26;7.05;10.64;11.94;33.97;32.89;0.95;736.3;170.95;319.46;356.66;225.76;42.91;736.17;29.91;13.98;28.0;438.13;2301.7;1240.54;29.54;18.83;13.71;19.85;14.73;507.76;64.1;13.25;33.35;30.76;11.69;12.11;38.56;9.75;4.92;12.9;6.5;0.86;21.07;19.69;19.25;18.48;13.81;2.68;2.63;2.78;0.28;0.2;13.63;14.9;4.02;36.61;21.63;19.55;29.28;57.26
Arsenal;23.5;0.0;0.0;0.5;10.0;21.5;9.0;0.0;0.02;0.1;0.0;0.1;0.04;0.04;0.15;0.04;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.5;21.3;0.73;0.18;0.0;0.0;12.55;0.0;0.0;0.0;0.5;0.45;0.05;0.0;0.0;295.5;364.0;81.85;4309.0;1449.0;178.0;187.0;89.4;86.0;106.0;85.75;9.5;16.5;49.85;0.5;0.35;0.6;0.0;5.0;15.5;6.0;1.0;21.5;364.0;344.5;17.0;3.0;1.5;1.0;3.5;2.0;0.0;0.0;0.0;0.0;295.5;1.5;2.5;13.0;2.46;10.0;0.0;0.0;1.0;0.0;0.0;2.5;0.12;1.0;0.0;0.0;0.0;0.0;0.0;10.5;6.5;3.5;3.0;1.0;4.0;8.5;35.95;3.5;7.0;1.0;5.0;3.5;13.0;5.0;0.0;539.0;13.5;85.5;127.0;134.5;14.0;539.0;6.0;2.0;34.2;299.0;1229.5;589.0;10.0;8.0;1.0;7.5;3.5;368.5;9.0;17.5;43.5;24.95;9.5;9.5;77.0;3.0;2.0;11.5;2.5;2.33;22.0;6.5;18.25;7.0;14.0;1.55;0.0;1.0;0.0;0.0;7.5;6.0;0.0;3.5;4.0;6.0;42.5;29.5;23.44;2.69;2.38;1.94;25.66;65.81;65.25;0.12;0.11;0.23;0.1;0.21;0.14;0.1;0.23;0.12;0.22;1.19;1.19;0.91;0.05;2.59;1.69;4.14;1.04;0.88;0.16;0.16;0.56;2.6;0.09;0.06;0.03;0.0;2.69;20.22;6.53;18.65;1.27;0.43;0.06;0.19;10.46;0.19;0.31;0.31;2.44;2.2;0.06;0.25;0.18;596.69;704.94;65.43;9672.91;3194.06;303.72;332.59;71.13;244.03;273.91;69.14;36.81;67.56;40.01;1.94;1.75;1.8;0.19;16.03;48.31;17.12;2.12;65.81;704.94;654.41;47.81;13.84;3.25;2.03;20.94;17.5;8.28;6.78;0.03;0.0;596.69;2.72;9.97;37.03;2.11;28.94;2.56;1.81;2.06;1.03;0.62;4.75;0.27;3.25;0.5;0.25;0.34;0.41;0.0;19.06;10.88;8.03;7.69;3.34;8.47;16.97;35.14;8.5;12.88;3.31;9.56;9.12;28.19;16.09;0.56;827.91;61.69;209.81;356.47;267.5;46.25;827.59;20.97;8.84;28.68;509.28;2536.59;1297.19;25.66;17.97;10.22;16.41;11.72;591.16;65.25;17.88;42.94;34.34;13.05;13.06;54.66;8.22;4.81;10.38;5.88;1.93;31.28;9.97;26.17;9.57;21.31;1.41;0.11;2.0;0.06;0.03;12.22;12.31;2.72;20.94;15.72;15.59;36.77;54.75;4.09;4.29;3.64;2.9;39.02;89.26;114.96;0.18;0.14;0.28;0.16;0.25;0.17;0.12;0.26;0.16;0.24;5.72;5.72;4.31;0.19;12.37;8.06;16.29;5.89;4.13;0.72;0.88;2.84;10.46;0.53;0.35;0.18;0.0;4.29;28.15;9.43;17.05;1.56;0.66;0.08;0.24;9.07;0.78;1.12;1.12;3.88;3.31;0.06;1.25;1.26;728.9;830.18;35.65;12002.94;4412.57;356.34;385.79;38.52;331.54;359.96;37.7;48.22;95.93;27.58;2.9;2.78;2.91;1.04;26.03;66.57;27.38;3.53;89.26;830.18;780.9;63.17;20.65;7.09;3.51;39.6;42.89;23.24;19.36;0.18;0.0;728.9;3.8;13.06;54.93;2.0;42.78;5.93;3.42;3.05;1.8;1.24;6.61;0.34;4.9;1.02;0.57;0.65;0.87;0.0;22.76;13.15;9.92;10.14;4.69;10.32;20.59;32.68;11.58;15.28;7.38;11.31;11.76;33.71;26.06;1.11;941.74;146.73;335.63;466.68;354.55;71.3;941.41;33.33;13.72;27.0;583.65;2978.17;1550.09;39.02;23.29;19.99;20.82;17.13;683.1;114.96;14.99;33.0;35.94;13.65;14.2;38.29;11.72;5.61;9.26;7.51;1.06;32.71;10.68;27.39;10.03;22.35;1.04;0.91;2.62;0.25;0.18;14.01;16.29;4.67;39.6;25.2;22.91;30.0;62.65
Aston Villa;24.0;0.0;0.0;0.0;3.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.09;0.04;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;10.0;0.5;0.05;0.0;0.0;12.2;0.0;0.0;0.0;0.1;0.1;0.05;0.0;0.0;100.0;121.0;79.5;1705.0;512.0;49.0;50.0;83.6;44.0;47.0;82.8;6.0;10.0;47.4;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;5.0;121.0;117.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;1.0;2.0;0.84;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;3.0;1.0;0.0;1.0;5.0;18.2;1.0;3.0;0.0;3.0;1.0;7.0;4.0;0.0;189.0;9.0;53.0;46.0;12.0;1.0;189.0;4.0;2.0;29.3;102.0;508.0;206.0;3.0;1.0;0.0;2.0;1.0;115.0;1.0;9.0;30.0;11.8;4.5;3.0;68.0;0.0;1.0;5.0;2.0;1.67;4.0;12.0;4.5;10.1;0.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;2.0;1.0;36.8;15.0;23.97;1.85;1.74;1.41;19.87;37.21;36.87;0.12;0.07;0.19;0.12;0.19;0.11;0.06;0.17;0.11;0.17;1.0;0.97;1.56;0.11;4.44;2.95;3.28;2.56;0.51;0.21;0.26;0.21;0.6;0.05;0.03;0.03;0.0;1.85;13.1;4.67;17.26;1.13;0.35;0.07;0.17;9.18;0.38;0.1;0.1;1.67;1.59;0.06;0.17;0.15;413.67;496.49;63.18;7208.41;2443.41;182.31;202.0;63.84;189.26;212.13;61.18;34.1;60.72;35.11;1.41;1.26;1.09;0.15;10.21;29.74;9.31;1.72;37.21;496.49;448.69;46.59;16.1;2.05;2.44;16.69;15.72;5.92;3.82;0.38;0.05;413.67;1.21;8.79;23.38;1.51;17.18;1.97;1.21;1.87;0.79;0.36;3.31;0.18;2.36;0.21;0.21;0.26;0.21;0.08;14.03;7.97;6.9;5.38;1.74;6.67;14.1;25.15;7.44;9.97;2.9;7.08;6.05;20.08;15.31;0.33;591.23;71.97;209.49;247.08;139.97;25.9;591.13;19.41;8.85;26.27;370.51;2015.36;1056.9;19.87;12.56;5.56;12.23;10.67;405.72;36.87;14.59;38.72;28.18;10.71;10.72;47.87;6.92;3.87;10.77;4.77;1.26;21.44;17.15;17.85;16.89;4.28;-0.67;-0.89;2.41;0.05;0.0;10.56;12.13;1.21;16.69;8.56;9.31;34.21;41.51;4.6;3.77;3.62;2.95;27.64;52.81;64.37;0.22;0.14;0.29;0.22;0.29;0.16;0.09;0.21;0.16;0.21;5.48;5.47;7.91;0.51;22.77;15.46;14.31;16.01;3.04;1.28;1.21;1.28;3.76;0.22;0.16;0.16;0.0;3.77;21.81;8.9;18.65;1.92;0.66;0.11;0.25;8.71;1.31;0.64;0.64;3.19;3.09;0.08;1.16;1.13;554.2;645.17;35.83;10054.0;3823.16;235.32;255.71;41.03;278.36;301.96;41.92;54.05;99.36;31.55;2.95;2.32;1.84;1.16;16.58;44.88;15.0;3.89;52.81;645.17;579.16;76.63;30.53;4.31;4.97;34.06;43.72;18.18;11.6;1.43;0.32;554.2;2.0;12.02;34.63;1.82;24.6;6.29;2.33;3.64;1.3;0.58;5.63;0.26;3.94;0.7;0.52;1.16;0.47;0.27;19.25;11.38;9.54;8.92;2.56;9.61;19.6;27.01;10.67;12.16;5.3;8.65;8.56;27.53;23.85;0.87;734.45;191.09;344.8;346.64;201.16;45.11;734.2;28.75;13.87;27.43;466.37;2511.0;1399.45;27.64;16.65;11.12;17.97;16.03;509.1;64.37;14.4;34.31;33.34;12.67;13.04;39.7;10.25;5.35;12.9;6.95;0.94;25.82;19.42;21.52;19.16;8.05;3.71;3.83;3.13;0.22;0.0;13.54;17.59;3.22;34.06;12.19;14.73;33.18;52.64
